,type,month,day,engagement,comment,share,tag_friend,purchase_intention,year,date
80,artist,2,7,80639,2241,10453,1006,14,2020,2020-02-07
81,artist,2,8,123480,7968,27286,6656,11,2020,2020-02-08
82,artist,2,9,43895,388,18573,73,6,2020,2020-02-09
83,artist,2,10,69461,1608,5994,693,2,2020,2020-02-10
84,artist,2,11,230153,14511,52439,10566,16,2020,2020-02-11
85,artist,2,12,73552,3921,8537,2713,32,2020,2020-02-12
86,artist,2,13,207336,22448,48252,17898,51,2020,2020-02-13
87,artist,2,14,81915,2005,10546,1127,7,2020,2020-02-14
88,artist,2,15,52098,2174,5386,1381,1,2020,2020-02-15
89,artist,2,16,52923,876,4856,400,16,2020,2020-02-16
90,artist,2,17,48087,2344,3445,1526,7,2020,2020-02-17
91,artist,2,18,50296,1535,3683,889,14,2020,2020-02-18
92,artist,2,19,128755,6311,15972,3983,19,2020,2020-02-19
93,artist,2,20,72743,5063,9762,3878,15,2020,2020-02-20
94,artist,2,21,94962,2345,23090,1164,43,2020,2020-02-21
95,artist,2,22,60065,2630,6388,1437,16,2020,2020-02-22
96,artist,2,23,47357,2406,4670,1396,8,2020,2020-02-23
97,artist,2,24,58577,1750,4738,964,8,2020,2020-02-24
98,artist,2,25,295839,21920,103026,16900,7,2020,2020-02-25
99,artist,2,26,63565,2936,5267,1744,31,2020,2020-02-26
100,artist,2,27,58767,4208,6162,3094,11,2020,2020-02-27
101,artist,2,28,59060,1919,5833,1125,13,2020,2020-02-28
102,artist,2,29,129798,2727,21430,1529,6,2020,2020-02-29
103,artist,3,1,120381,2146,34168,965,16,2020,2020-03-01
104,artist,3,2,72182,2068,7416,1178,16,2020,2020-03-02
105,artist,3,3,157031,13200,19831,9672,24,2020,2020-03-03
106,artist,3,4,74637,3919,7704,2674,11,2020,2020-03-04
107,artist,3,5,80973,6476,9390,4609,27,2020,2020-03-05
108,artist,3,6,66743,3591,9092,2653,14,2020,2020-03-06
109,artist,3,7,90908,2659,10388,1298,19,2020,2020-03-07
110,artist,3,8,58454,3960,6914,1844,8,2020,2020-03-08
111,artist,3,9,81584,5594,10374,4325,7,2020,2020-03-09
112,artist,3,10,184458,9373,33862,6602,20,2020,2020-03-10
113,artist,3,11,105758,5936,13571,4003,29,2020,2020-03-11
114,artist,3,12,68207,2083,11837,1244,14,2020,2020-03-12
115,artist,3,13,55823,3351,7076,2211,25,2020,2020-03-13
116,artist,3,14,83536,3082,8989,1712,9,2020,2020-03-14
117,artist,3,15,48880,2079,5052,1107,13,2020,2020-03-15
118,artist,3,16,78793,2792,8563,1577,10,2020,2020-03-16
119,artist,3,17,228354,22349,57496,17445,25,2020,2020-03-17
120,artist,3,18,93035,4039,14366,3070,12,2020,2020-03-18
121,artist,3,19,68770,2577,6871,1737,18,2020,2020-03-19
122,artist,3,20,85189,6316,11549,5128,14,2020,2020-03-20
123,artist,3,21,69296,2448,10610,1434,9,2020,2020-03-21
124,artist,3,22,37554,2149,3590,1050,18,2020,2020-03-22
125,artist,3,23,52785,3234,6023,2166,13,2020,2020-03-23
126,artist,3,24,227516,38372,54308,24661,26,2020,2020-03-24
127,artist,3,25,53301,5646,6491,4403,18,2020,2020-03-25
128,artist,3,26,100794,2665,8043,1394,9,2020,2020-03-26
129,artist,3,27,72160,1618,12244,854,11,2020,2020-03-27
130,artist,3,28,79873,2675,8892,1509,10,2020,2020-03-28
131,artist,3,29,98356,2374,6231,1135,15,2020,2020-03-29
132,artist,3,30,64569,3763,5586,2708,6,2020,2020-03-30
133,artist,4,1,140608,2809,19442,981,17,2020,2020-04-01
134,artist,4,2,82763,3184,9107,2345,10,2020,2020-04-02
135,artist,4,3,106464,2622,13305,1695,15,2020,2020-04-03
136,artist,4,4,85260,3236,9626,2337,9,2020,2020-04-04
137,artist,4,5,67697,1713,5389,793,19,2020,2020-04-05
138,artist,4,6,108012,3286,32466,1803,26,2020,2020-04-06
139,artist,4,7,108197,10751,11742,8600,19,2020,2020-04-07
140,artist,4,8,81654,3504,18184,2599,28,2020,2020-04-08
141,artist,4,9,52620,1475,5836,879,6,2020,2020-04-09
142,artist,4,10,57445,3117,4941,2222,11,2020,2020-04-10
143,artist,4,11,44105,795,3051,345,11,2020,2020-04-11
144,artist,4,12,81376,3684,10604,2025,21,2020,2020-04-12
145,artist,4,13,81802,3434,11125,2159,16,2020,2020-04-13
146,artist,4,14,162363,12304,30856,9362,35,2020,2020-04-14
147,artist,4,15,77342,3370,6797,1971,21,2020,2020-04-15
148,artist,4,16,70846,4974,9797,3807,10,2020,2020-04-16
149,artist,4,17,71168,6955,12010,2943,11,2020,2020-04-17
150,artist,4,18,64281,1801,12188,802,12,2020,2020-04-18
151,artist,4,19,64759,1995,4898,866,3,2020,2020-04-19
152,artist,4,20,110565,4008,10207,2872,21,2020,2020-04-20
153,artist,4,21,46595,1027,3444,498,18,2020,2020-04-21
154,artist,4,22,54359,1287,3836,658,7,2020,2020-04-22
155,artist,4,23,51996,1437,3782,650,7,2020,2020-04-23
156,artist,4,24,64201,3735,6867,2851,18,2020,2020-04-24
157,artist,4,25,61914,2103,7097,1178,11,2020,2020-04-25
158,artist,4,26,82874,3816,9245,2429,18,2020,2020-04-26
159,artist,4,27,64489,3231,5974,2254,20,2020,2020-04-27
160,artist,4,28,107081,5008,15498,3609,10,2020,2020-04-28
161,artist,4,29,72061,7212,11834,5854,28,2020,2020-04-29
162,artist,4,30,60551,5458,8038,4087,16,2020,2020-04-30
163,artist,5,1,73936,2770,8497,1844,11,2020,2020-05-01
164,artist,5,2,43073,1046,3897,529,8,2020,2020-05-02
165,artist,5,3,48371,857,2670,422,2,2020,2020-05-03
166,artist,5,4,84449,3216,8888,2221,10,2020,2020-05-04
167,artist,5,5,181778,21668,46484,17341,8,2020,2020-05-05
168,artist,5,6,38798,1012,2921,585,10,2020,2020-05-06
169,artist,5,7,286038,20151,27035,16958,19,2020,2020-05-07
170,artist,5,8,56247,1119,5425,578,6,2020,2020-05-08
171,artist,5,9,55698,1983,4973,905,2,2020,2020-05-09
172,artist,5,10,35553,1119,3847,613,7,2020,2020-05-10
173,artist,5,11,53902,1249,4047,669,10,2020,2020-05-11
174,artist,5,12,102652,3211,13323,2014,8,2020,2020-05-12
175,artist,5,13,58267,3031,5547,2152,13,2020,2020-05-13
176,artist,5,14,54657,1544,6049,1093,8,2020,2020-05-14
177,artist,5,15,90150,1429,7743,732,22,2020,2020-05-15
178,artist,5,16,59794,2664,7494,2042,23,2020,2020-05-16
179,artist,5,17,49367,1599,4876,1067,11,2020,2020-05-17
180,artist,5,18,51772,1439,4518,803,5,2020,2020-05-18
181,artist,5,19,139752,8042,17695,5747,24,2020,2020-05-19
182,artist,5,20,35382,1895,3157,1413,16,2020,2020-05-20
183,artist,5,21,60068,6890,5558,2795,30,2020,2020-05-21
184,artist,5,22,79198,1867,5052,684,8,2020,2020-05-22
185,artist,5,23,33356,390,5064,169,6,2020,2020-05-23
186,artist,5,24,31656,688,2716,238,4,2020,2020-05-24
187,artist,5,25,90907,1264,10705,728,7,2020,2020-05-25
188,artist,5,26,190089,16008,39714,12819,15,2020,2020-05-26
189,artist,5,27,37437,1026,2564,564,12,2020,2020-05-27
190,artist,5,28,76645,1687,6898,796,9,2020,2020-05-28
191,artist,5,29,60351,1405,3692,837,5,2020,2020-05-29
192,artist,5,30,78168,2826,7406,1293,21,2020,2020-05-30
193,artist,5,31,84833,5464,9814,4539,9,2020,2020-05-31
194,artist,6,1,147678,2230,24089,1262,23,2020,2020-06-01
195,artist,6,2,216416,34852,51677,28613,13,2020,2020-06-02
196,artist,6,3,65131,2017,8038,1415,8,2020,2020-06-03
197,artist,6,4,76755,2616,6938,1540,13,2020,2020-06-04
198,artist,6,5,76653,2121,7947,1341,9,2020,2020-06-05
199,artist,6,6,54627,3170,6740,2312,49,2020,2020-06-06
200,artist,6,7,103636,3490,12652,1586,10,2020,2020-06-07
201,artist,6,8,78328,5144,8396,1892,13,2020,2020-06-08
202,artist,6,9,179103,12309,30808,9662,12,2020,2020-06-09
203,artist,6,10,69678,1690,4058,594,47,2020,2020-06-10
204,artist,6,11,57417,2073,6715,1324,10,2020,2020-06-11
205,artist,6,12,68893,2288,5913,1549,10,2020,2020-06-12
206,artist,6,13,56666,1612,5646,472,11,2020,2020-06-13
207,artist,6,14,78304,2619,8355,1747,11,2020,2020-06-14
208,artist,6,15,58070,1617,6175,846,6,2020,2020-06-15
209,artist,6,16,63923,1828,4231,1157,9,2020,2020-06-16
210,artist,6,17,182275,7806,43837,5496,27,2020,2020-06-17
211,artist,6,18,72655,1846,5736,1149,13,2020,2020-06-18
212,artist,6,19,70908,1470,5647,903,6,2020,2020-06-19
213,artist,6,20,67906,1379,4415,516,9,2020,2020-06-20
214,artist,6,21,86831,1858,8447,1171,4,2020,2020-06-21
215,artist,6,22,94337,3617,8552,1915,20,2020,2020-06-22
216,artist,6,23,155042,12889,25359,10116,16,2020,2020-06-23
217,artist,6,24,103746,2026,10231,1169,10,2020,2020-06-24
218,artist,6,25,94377,3997,8500,2638,11,2020,2020-06-25
219,artist,6,26,92270,2324,11961,1124,18,2020,2020-06-26
220,artist,6,27,311866,6324,111122,3608,12,2020,2020-06-27
221,artist,6,28,74470,1909,5336,1329,7,2020,2020-06-28
222,artist,6,29,93762,4266,8094,2547,7,2020,2020-06-29
223,artist,7,1,91234,2544,8049,1584,19,2020,2020-07-01
224,artist,7,2,68322,3016,6942,1095,9,2020,2020-07-02
225,artist,7,3,65448,1851,6663,1110,13,2020,2020-07-03
226,artist,7,4,50589,1670,3760,947,8,2020,2020-07-04
227,artist,7,5,43947,981,3548,596,5,2020,2020-07-05
228,artist,7,6,79714,4606,18693,1998,1,2020,2020-07-06
229,artist,7,7,106925,6105,12754,4675,12,2020,2020-07-07
230,artist,7,8,86789,1588,6888,775,12,2020,2020-07-08
231,artist,7,9,72096,3461,7383,2556,13,2020,2020-07-09
232,artist,7,10,53260,986,3723,482,5,2020,2020-07-10
233,artist,7,11,64287,5482,4744,4701,3,2020,2020-07-11
234,artist,7,12,57426,1472,10556,970,4,2020,2020-07-12
235,artist,7,13,79240,5231,7540,4370,12,2020,2020-07-13
236,artist,7,14,180513,16939,33046,13818,29,2020,2020-07-14
237,artist,7,15,65339,1903,5860,1404,3,2020,2020-07-15
238,artist,7,16,57725,1616,7947,837,6,2020,2020-07-16
239,artist,7,17,63673,2093,6926,1493,10,2020,2020-07-17
240,artist,7,18,72152,2601,6860,2016,13,2020,2020-07-18
241,artist,7,19,41283,956,3210,461,2,2020,2020-07-19
242,artist,7,20,58998,1272,6493,793,12,2020,2020-07-20
243,artist,7,21,153769,13463,28554,10991,15,2020,2020-07-21
244,artist,7,22,87238,2622,10943,1484,6,2020,2020-07-22
245,artist,7,23,55754,1210,2899,576,3,2020,2020-07-23
246,artist,7,24,90890,3655,14732,3027,4,2020,2020-07-24
247,artist,7,25,104575,4941,10328,3831,50,2020,2020-07-25
248,artist,7,26,46278,2199,4599,1338,11,2020,2020-07-26
249,artist,7,27,51421,998,4457,390,4,2020,2020-07-27
250,artist,7,28,137660,10211,18086,8080,8,2020,2020-07-28
251,artist,7,29,60592,1099,5378,645,4,2020,2020-07-29
252,artist,7,30,62517,1045,4827,511,4,2020,2020-07-30
253,artist,7,31,72865,2803,8247,1604,7,2020,2020-07-31
254,artist,8,1,75659,3635,10187,1374,40,2020,2020-08-01
255,artist,8,2,66813,1034,7130,535,5,2020,2020-08-02
256,artist,8,3,79205,1321,6469,707,11,2020,2020-08-03
257,artist,8,4,213689,20598,45641,16570,16,2020,2020-08-04
258,artist,8,5,69360,2708,5264,1879,9,2020,2020-08-05
259,artist,8,6,89741,6362,13561,5467,4,2020,2020-08-06
260,artist,8,7,58878,1543,4475,1070,7,2020,2020-08-07
261,artist,8,8,76859,3059,7161,2414,3,2020,2020-08-08
262,artist,8,9,117442,3048,10673,1496,7,2020,2020-08-09
263,artist,8,10,83183,6869,8183,5997,8,2020,2020-08-10
264,artist,8,11,167361,13682,30572,11199,7,2020,2020-08-11
265,artist,8,12,99774,3343,12370,2621,10,2020,2020-08-12
266,artist,8,13,206379,23531,57303,16680,18,2020,2020-08-13
267,artist,8,14,58472,1127,5175,715,3,2020,2020-08-14
268,artist,8,15,81792,2600,6173,1744,8,2020,2020-08-15
269,artist,8,16,73053,1896,8378,1305,5,2020,2020-08-16
270,artist,8,17,46101,3688,3916,1148,15,2020,2020-08-17
271,artist,8,18,140337,4852,40266,3622,5,2020,2020-08-18
272,artist,8,19,99104,6649,11023,5099,22,2020,2020-08-19
273,artist,8,20,56316,1726,6699,1221,12,2020,2020-08-20
274,artist,8,21,86800,2517,6160,1561,9,2020,2020-08-21
275,artist,8,22,82626,2724,8844,1994,32,2020,2020-08-22
276,artist,8,23,99203,2394,9871,1661,13,2020,2020-08-23
277,artist,8,24,88386,3139,10893,1937,15,2020,2020-08-24
278,artist,8,25,173577,4203,18601,2548,9,2020,2020-08-25
279,artist,8,26,73526,2045,7171,1275,12,2020,2020-08-26
280,artist,8,27,69916,4108,6800,3313,19,2020,2020-08-27
281,artist,8,28,121660,3040,17333,1739,17,2020,2020-08-28
282,artist,8,29,91749,3043,12494,2151,23,2020,2020-08-29
283,artist,8,30,87446,1985,5628,891,15,2020,2020-08-30
284,artist,8,31,73922,1780,8025,1154,8,2020,2020-08-31
285,artist,9,1,249742,30313,47497,25074,11,2020,2020-09-01
286,artist,9,2,97633,5088,17064,4157,32,2020,2020-09-02
287,artist,9,3,81731,3092,9313,2403,17,2020,2020-09-03
288,artist,9,4,58873,1776,4889,1180,9,2020,2020-09-04
289,artist,9,5,192776,13311,68567,9617,12,2020,2020-09-05
290,artist,9,6,52945,1406,4943,821,3,2020,2020-09-06
291,artist,9,7,72943,1973,4821,1372,17,2020,2020-09-07
292,artist,9,8,106708,4186,13949,2709,19,2020,2020-09-08
293,artist,9,9,71889,2225,6087,1159,10,2020,2020-09-09
294,artist,9,10,80660,2736,6076,1899,13,2020,2020-09-10
295,artist,9,11,89229,2128,8814,1411,13,2020,2020-09-11
296,artist,9,12,74073,3268,6352,2148,4,2020,2020-09-12
297,artist,9,13,64020,1128,5827,728,1,2020,2020-09-13
298,artist,9,14,133589,11010,17916,9155,6,2020,2020-09-14
299,artist,9,15,111851,8725,14514,6934,19,2020,2020-09-15
300,artist,9,16,67374,2642,4935,2080,30,2020,2020-09-16
301,artist,9,17,65067,1386,4352,960,5,2020,2020-09-17
302,artist,9,18,78910,1471,3790,989,14,2020,2020-09-18
303,artist,9,19,89559,904,14595,519,2,2020,2020-09-19
304,artist,9,20,58417,1111,5292,693,4,2020,2020-09-20
305,artist,9,21,52449,1623,4052,1122,8,2020,2020-09-21
306,artist,9,22,183938,15708,39289,12320,19,2020,2020-09-22
307,artist,9,23,87687,3973,7800,2248,21,2020,2020-09-23
308,artist,9,24,69746,1513,3781,973,13,2020,2020-09-24
309,artist,9,25,67848,3386,6758,734,10,2020,2020-09-25
310,artist,9,26,61414,1412,6486,826,8,2020,2020-09-26
311,artist,9,27,49492,772,3438,379,4,2020,2020-09-27
312,artist,9,28,77549,1524,5770,950,7,2020,2020-09-28
313,artist,9,29,195480,10999,43969,8974,11,2020,2020-09-29
314,artist,10,1,94650,1374,8717,795,7,2020,2020-10-01
315,artist,10,2,61042,2058,4914,1386,11,2020,2020-10-02
316,artist,10,3,59550,1185,2901,783,2,2020,2020-10-03
317,artist,10,4,43343,1959,6303,973,15,2020,2020-10-04
318,artist,10,5,98906,3357,9794,2539,13,2020,2020-10-05
319,artist,10,6,141132,8133,16606,6446,18,2020,2020-10-06
320,artist,10,7,93389,1856,8331,1047,7,2020,2020-10-07
321,artist,10,8,63164,1506,5892,955,12,2020,2020-10-08
322,artist,10,9,51371,1113,2752,634,5,2020,2020-10-09
323,artist,10,10,66534,1221,4315,564,11,2020,2020-10-10
324,artist,10,11,106436,2667,14617,1830,3,2020,2020-10-11
325,artist,10,12,94366,4064,17542,3062,17,2020,2020-10-12
326,artist,10,13,156733,8517,26676,6362,8,2020,2020-10-13
327,artist,10,14,89452,2094,8217,1297,20,2020,2020-10-14
328,artist,10,15,76793,1384,15295,752,7,2020,2020-10-15
329,artist,10,16,99607,1927,16650,981,7,2020,2020-10-16
330,artist,10,17,283511,2722,113365,1147,6,2020,2020-10-17
331,artist,10,18,123565,3974,17023,3164,8,2020,2020-10-18
332,artist,10,19,62090,2189,4926,1467,9,2020,2020-10-19
333,artist,10,20,75362,1101,8216,628,8,2020,2020-10-20
334,artist,10,21,83868,1079,15843,609,18,2020,2020-10-21
335,artist,10,22,113320,3336,9839,2126,11,2020,2020-10-22
336,artist,10,23,87103,1203,4760,617,6,2020,2020-10-23
337,artist,10,24,189783,12325,36608,9510,9,2020,2020-10-24
338,artist,10,25,72274,842,10424,456,7,2020,2020-10-25
339,artist,10,26,56986,1719,5056,1128,7,2020,2020-10-26
340,artist,10,27,108225,2658,8853,1690,14,2020,2020-10-27
341,artist,10,28,89104,1704,9917,918,11,2020,2020-10-28
342,artist,10,29,75218,2079,4706,1158,8,2020,2020-10-29
343,artist,10,30,96037,3046,7620,2078,10,2020,2020-10-30
344,artist,10,31,120772,5118,14042,3779,5,2020,2020-10-31
345,artist,11,1,126192,2744,18885,1949,12,2020,2020-11-01
346,artist,11,2,65687,2829,7894,1510,11,2020,2020-11-02
347,artist,11,3,69661,1717,6775,1166,13,2020,2020-11-03
348,artist,11,4,124935,4802,18256,3645,5,2020,2020-11-04
349,artist,11,5,67751,1876,5295,1295,16,2020,2020-11-05
350,artist,11,6,65190,1055,6923,476,6,2020,2020-11-06
351,artist,11,7,144746,6207,14944,4541,6,2020,2020-11-07
352,artist,11,8,85325,1343,6257,711,4,2020,2020-11-08
353,artist,11,9,148788,4225,14255,2488,14,2020,2020-11-09
354,artist,11,10,127145,2145,11549,1378,6,2020,2020-11-10
355,artist,11,11,87728,4087,12708,3077,31,2020,2020-11-11
356,artist,11,12,76387,2022,7350,1505,12,2020,2020-11-12
357,artist,11,13,100121,1717,8338,980,16,2020,2020-11-13
358,artist,11,14,195128,20505,40910,17216,5,2020,2020-11-14
359,artist,11,15,77056,1324,5544,747,4,2020,2020-11-15
360,artist,11,16,78438,3678,6143,2729,4,2020,2020-11-16
361,artist,11,17,71757,855,8153,405,16,2020,2020-11-17
362,artist,11,18,62675,1169,5024,606,13,2020,2020-11-18
363,artist,11,19,98406,6035,13392,5244,9,2020,2020-11-19
364,artist,11,20,63189,1184,5917,653,11,2020,2020-11-20
365,artist,11,21,171049,7993,24047,6049,13,2020,2020-11-21
366,artist,11,22,61387,1918,4337,1062,6,2020,2020-11-22
367,artist,11,23,81759,2339,11734,970,10,2020,2020-11-23
368,artist,11,24,80477,1669,10220,803,6,2020,2020-11-24
369,artist,11,25,60432,4535,6632,3918,31,2020,2020-11-25
370,artist,11,26,168143,5129,75925,3154,18,2020,2020-11-26
371,artist,11,27,63820,2097,3953,1498,19,2020,2020-11-27
372,artist,11,28,96003,7664,11193,5998,10,2020,2020-11-28
373,artist,11,29,73495,2990,16401,2408,5,2020,2020-11-29
374,artist,11,30,83539,1524,6752,583,2,2020,2020-11-30
375,artist,12,1,136495,1772,33370,760,15,2020,2020-12-01
376,artist,12,2,44816,2248,4304,1818,32,2020,2020-12-02
377,artist,12,3,142005,4940,6240,4013,7,2020,2020-12-03
378,artist,12,4,104681,2418,41778,1474,10,2020,2020-12-04
379,artist,12,5,130499,4665,17990,2814,7,2020,2020-12-05
380,artist,12,6,72654,1742,8231,838,8,2020,2020-12-06
381,artist,12,7,54664,1188,5126,484,2,2020,2020-12-07
382,artist,12,8,104951,2949,11919,1991,31,2020,2020-12-08
383,artist,12,9,64024,1948,6104,1319,6,2020,2020-12-09
384,artist,12,10,53291,1216,5474,385,9,2020,2020-12-10
385,artist,12,11,81707,3459,8442,2342,11,2020,2020-12-11
386,artist,12,12,152684,5124,26739,3774,3,2020,2020-12-12
387,artist,12,13,97200,2641,9585,1271,3,2020,2020-12-13
388,artist,12,14,79073,1466,7150,775,13,2020,2020-12-14
389,artist,12,15,83025,2100,12568,1268,13,2020,2020-12-15
390,artist,12,16,67280,1257,6666,643,8,2020,2020-12-16
391,artist,12,17,47827,1898,5469,689,5,2020,2020-12-17
392,artist,12,18,57009,986,5350,317,3,2020,2020-12-18
393,artist,12,19,123208,9406,17657,7583,2,2020,2020-12-19
394,artist,12,20,99019,8720,11640,7960,1,2020,2020-12-20
395,artist,12,21,145367,5731,30126,3910,3,2020,2020-12-21
396,artist,12,22,81475,1557,5319,970,4,2020,2020-12-22
397,artist,12,23,57612,1971,4527,1237,7,2020,2020-12-23
398,artist,12,24,144527,4149,23851,4555,2,2020,2020-12-24
399,artist,12,25,116180,4836,13051,4044,14,2020,2020-12-25
400,artist,12,26,66748,2494,6502,1955,5,2020,2020-12-26
401,artist,12,27,101023,2831,9422,2295,6,2020,2020-12-27
402,artist,12,28,101243,2798,13357,1663,8,2020,2020-12-28
403,artist,12,29,135495,2890,14272,1981,3,2020,2020-12-29
404,artist,12,30,243567,43436,64477,38297,14,2020,2020-12-30
405,beauty,1,1,341089,10303,17715,3042,106,2020,2020-01-01
406,beauty,1,2,488456,13721,30025,3988,191,2020,2020-01-02
407,beauty,1,3,480714,16211,18986,5184,439,2020,2020-01-03
408,beauty,1,4,245361,13730,20927,5302,499,2020,2020-01-04
409,beauty,1,5,332237,11771,30407,4475,286,2020,2020-01-05
410,beauty,1,6,335653,11883,29106,4360,243,2020,2020-01-06
411,beauty,1,7,371148,13045,15977,3447,239,2020,2020-01-07
412,beauty,1,8,345815,33558,13843,4045,313,2020,2020-01-08
413,beauty,1,9,285413,12606,17342,3378,345,2020,2020-01-09
414,beauty,1,10,871387,38082,62927,12156,702,2020,2020-01-10
415,beauty,1,11,323905,16186,17590,3375,254,2020,2020-01-11
416,beauty,1,12,319035,15686,27465,6873,379,2020,2020-01-12
417,beauty,1,13,259305,9559,19901,2720,175,2020,2020-01-13
418,beauty,1,14,244142,12400,14115,3147,155,2020,2020-01-14
419,beauty,1,15,341719,17819,22083,4657,363,2020,2020-01-15
420,beauty,1,16,385159,19775,38630,5307,1558,2020,2020-01-16
421,beauty,1,17,385294,28502,32859,3923,7952,2020,2020-01-17
422,beauty,1,18,565204,31202,139784,9462,839,2020,2020-01-18
423,beauty,1,19,208998,6941,19232,2447,147,2020,2020-01-19
424,beauty,1,20,312087,13775,32610,4305,173,2020,2020-01-20
425,beauty,1,21,340367,11545,23642,3333,206,2020,2020-01-21
426,beauty,1,22,335002,20849,41332,11501,762,2020,2020-01-22
427,beauty,1,23,575887,14207,31275,3689,169,2020,2020-01-23
428,beauty,1,24,280061,10547,10774,2118,219,2020,2020-01-24
